Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
100966	hCG1998970.1	3.77	0.07	0
100969	hCG2025883	64.15	0.04	0
100972	hCG1980622.1	0.34	1.12	1
100983	hCG32417.3	0.87	0.54	1
100984	hCG2041530	7.18	0.06	0
100989	hCG21211.3	0.32	1.75	1
100993	hCG1744634.1	1.08	0.16	0
100996	hCG2042518	0.35	0.41	0
100997	hCG1775444.2	1.21	5.14	1
101011	hCG31839.2	0.22	2.36	1
101012	hCG21954.3	5.11	0.09	0
101018	hCG2040252	15.3	0.04	0
101019	hCG401224.3	4.27	0.05	0
101020	hCG1775524.2	0.79	2.67	1
101026	hCG16871.3	3.62	0.12	0
101027	hCG25275.2	5.65	0.05	0
101034	hCG18526.3	0.61	0.44	0
101039	hCG1640153.3	24.39	0.03	0
101042	hCG1984861	24.3	0.03	0
101044	hCG2038705	2.79	0.24	0
101058	hCG2014614	216.65	0.03	0
101059	hCG32955.3	16.65	0.04	0
101060	hCG38945.2	0.16	0.28	131073
101065	hCG1640952.4	31.37	0.04	0
101068	hCG1770617.1	24.4	0.04	0
101070	hCG1999834	15.76	0.04	0
101072	hCG16647.2	0.52	11.11	1
101083	NM_017570.1	0.52	0.3	0
101089	hCG2041472	0.24	226.6	1
101108	hCG16899.3	12.35	0.05	0
101109	hCG1811871.1	0.64	1.21	1
101113	hCG1988709	2970.77	0.03	0
101114	hCG1644607.3	12.96	0.04	0
101116	hCG23843.2	20.24	0.05	0
101120	hCG2022772	61.9	0.04	0
101122	hCG1641752.3	0.36	0.75	0
101123	hCG2024334	2.36	0.23	0
101125	hCG1642461.2	27.85	0.1	0
101126	hCG28123.3	19.43	0.04	0
101140	hCG1785449.2	0.58	2.21	1
101144	hCG40899.2	0.46	0.31	0
101145	hCG2033681	90.87	0.02	0
101150	hCG1989987	6.82	0.07	0
101157	hCG1994601	1.37	0.41	0
101173	hCG2033257	0.64	0.18	0
101185	hCG95749.3	1.1	0.13	0
101191	hCG1820788.1	16.76	0.05	0
101192	hCG1748595.2	26.49	0.04	0
101193	hCG1643899.2	1.68	0.11	0
101194	hCG40577.3	8.49	0.08	0
101196	hCG18813.3	1.5	0.92	0
101200	hCG41034.2	10.7	0.24	0
101210	hCG16977.3	8.11	0.06	0
101213	hCG1780499.2	88.82	0.04	0
101216	hCG1817604.1	1.47	0.5	0
101220	hCG2014111.1	0.4	0.41	0
101231	hCG19621.2	1.27	0.12	64
101239	hCG2025844	170.21	0.04	0
101242	hCG2042761.1	3.67	0.46	0
101251	hCG32899.2	1.26	0.41	0
101252	hCG1730707.4	1.17	1.21	1
101255	hCG1987073.1	78.51	0.04	0
101260	hCG39052.2	0.57	2.31	1
101262	R26_hCT19534.2	0.27	0.7	0
101263	hCG1795456.2	0.48	1.6	1
101266	hCG1982870	116.48	0.02	0
101269	hCG33005.3	0.22	3.25	1
101287	hCG1820362.1	6.49	0.05	0
101293	hCG32495.2	8.23	0.03	0
101300	hCG1812024.1	2.03	0.1	0
101304	hCG37212.2	2.62	0.13	0
101310	hCG2041331.1	43.68	0.02	0
101319	hCG1815348.2	0.62	0.57	1
101320	hCG38059.2	27.94	0.03	0
101331	hCG36994.2	2.28	0.1	0
101333	hCG1643757.2	8.6	0.07	0
101336	hCG1813566.1	0.94	0.49	0
101339	hCG1782876.1	4.01	0.35	0
101347	hCG1995039	1.09	0.14	0
101353	hCG1745555.3	0.9	3.67	1
101356	hCG2041201	1.36	0.41	0
